Sample,Raw Total Sequences,Reads Mapped,MapQ 30,Reads Unmapped,Reads Duplicated,Reads MQ0,Average Length,Maximum Length,Average Quality,Insert Size Average,Insert Size Std Dev,Percentage Properly Paired,Mean Insert Size,Std Insert Size,Median Insert Size,Mean Mapping Quality,Mean Coverage,Std Coverage,Coverage 1X,Coverage 5X,Coverage 10X,Coverage >15X
4018,50394108,50391402,47048063,2706,1310671,2337177,144,150,39.2,265.3,75.3,97.3,"51,488.0825","1,892,792.9195",255,56.3413,2.9994X,5.709X,87.36,20.87,1.38,0.29
C2012-00016,181254804,181209070,163735647,45734,22287910,14040386,136,150,36.0,234.6,115.5,98.5,"31,863.8506","1,537,034.1215",218,56.8663,10.3303X,32.8522X,99.26,87.02,46.87,14.49
11-HPxxFA,169067808,169055799,150863072,12009,10377421,14847160,135,150,36.2,202.7,98.3,97.4,"53,663.4168","1,970,124.0416",186,56.4695,9.4306X,29.1407X,99.1,83.7,38.91,9.66
PP118-2004,110684226,110678812,100931069,5414,7750702,7225935,145,150,39.2,270.2,19.9,97.1,"22,079.5257","1,224,756.8453",272,56.8751,6.7277X,31.1576X,96.05,62.1,19.73,3.94
20565,196452182,196437809,166260970,14373,19730043,24864839,135,150,36.1,204.1,94.8,97.3,"57,412.9933","2,071,317.0878",188,55.8237,11.0552X,51.0437X,99.16,85.55,46.46,16.37
A1984-05087,210260598,210247502,189175708,13096,26062869,16966363,137,150,36.1,230.7,112.4,98.2,"38,413.7005","1,653,262.1141",215,56.7766,11.9795X,38.8401X,99.5,91.88,59.36,23.12
2017N013,177330578,177300058,158751397,30520,17127998,14998756,135,150,36.1,216.2,105.0,97.8,"47,888.093","1,884,410.1263",200,56.5811,9.9679X,37.5676X,99.19,85.58,43.03,11.97
C1989-05720,602139422,601894354,548761198,245068,62668072,42656284,141,150,36.3,215.9,88.7,98.8,"21,524.6404","1,262,103.1022",199,56.9249,35.5387X,120.3306X,99.85,99.63,99.22,98.05
145413,70602124,70598721,60185532,3403,8173101,6954006,142,150,38.9,286.0,90.9,96.9,"36,195.9442","1,528,948.9539",270,55.4881,4.1395X,28.3368X,84.71,30.68,6.27,1.48
145242,148222892,148211532,125098957,11360,19965819,15401813,142,150,38.9,289.4,88.4,96.5,"42,449.9043","1,668,726.7689",276,55.3368,8.6695X,64.8377X,96.52,68.3,28.89,9.48
704,133576572,133570899,120158698,5673,17128698,9821037,140,150,38.5,359.0,102.7,93.9,"137,394.99","3,122,587.124",349,56.7659,7.789X,25.6931X,99.06,77.17,23.59,3.3
B50-14,267419626,267402463,234899305,17163,17873156,26688277,135,150,36.1,201.9,94.1,98.3,"35,995.1544","1,659,089.2122",186,56.1511,15.0744X,60.842X,99.7,95.67,73.93,40.98
Pp040801,224802034,224792057,202285983,9977,20509203,18211784,137,150,36.2,230.2,111.6,98.2,"36,667.905","1,620,642.7613",211,56.6451,12.9188X,42.7706X,99.7,94.83,65.94,28.37
1752,197626676,197619028,175674626,7648,21031546,17671493,138,150,36.1,226.4,106.9,96.2,"85,840.7553","2,508,908.8002",209,56.5332,11.2854X,39.4174X,99.58,91.23,53.54,17.8
145217,93201922,93194999,79170660,6923,6481093,9311591,144,150,39.2,295.6,94.5,96.9,"41,908.0164","1,654,884.578",281,55.3916,5.5305X,36.5423X,94.66,47.21,8.67,1.43
5071,155249712,155222071,136487892,27641,15918567,15106988,137,150,36.1,225.4,107.0,97.0,"66,644.0792","2,226,098.1042",208,56.2752,8.8656X,34.28X,98.97,79.04,32.84,8.17
1649,103939522,103935316,96979847,4206,2523061,4758345,143,150,39.1,302.7,92.9,97.7,"41,888.7886","1,693,085.5887",290,56.3421,6.1604X,11.1927X,97.48,63.66,13.59,1.68
B43-15,217230368,217217172,193018588,13196,28862807,19245260,139,150,36.1,233.7,108.5,97.9,"43,550.5538","1,770,149.8129",214,56.5756,12.5829X,41.8148X,99.53,92.54,61.9,25.99
A1986-05214,206001828,205985257,194056777,16571,26489651,9458387,137,150,36.0,243.1,119.6,98.7,"30,678.2346","1,534,894.5407",225,57.3111,11.8567X,77.3706X,99.4,91.62,60.64,25.04
2001,193175926,193165938,166526167,9988,18031680,22039899,131,150,36.2,176.7,79.9,96.5,"72,603.6348","2,275,427.581",164,55.8412,10.4566X,73.9103X,99.01,84.25,43.06,13.96
Pol-72,225822450,225805605,196322422,16845,16176583,24315316,134,150,36.2,196.5,92.5,97.9,"42,049.9173","1,767,955.1893",182,56.1668,12.5817X,46.1049X,99.58,91.94,58.78,24.44
1084,94619982,94616655,84535143,3327,12227463,7408292,140,150,38.5,341.4,96.3,91.9,"188,923.218","3,657,177.8099",339,56.6527,5.5254X,19.1506X,97.16,53.08,8.17,0.88
B41-14,210965444,210956410,179565150,9034,29812888,25593659,138,150,36.1,197.0,81.0,96.7,"61,690.1728","2,109,387.2578",183,55.8944,12.1416X,55.0686X,99.06,87.02,52.77,NA
984,72056050,72049087,63636755,6963,6792879,5892857,136,150,38.3,292.5,86.8,97.8,"33,110.8572","1,481,679.494",279,56.0577,4.0422X,20.8521X,87.34,31.95,5.58,1.05
4764,97711858,97705087,87629056,6771,11625738,7507621,142,150,38.9,286.1,85.8,98.7,"17,672.1439","1,094,452.9643",274,56.7751,5.7538X,22.6544X,NA,49.71,14.28,3.47
3017,223653382,223643275,202575795,10107,23369981,16760760,137,150,36.1,225.9,109.8,96.9,"67,574.6773","2,189,870.5763",209,56.6707,12.7107X,37.4988X,99.62,94.83,65.79,27.42
NHV1-2019-29-11,197728232,197718834,183977544,9398,29247199,11019067,137,150,36.0,233.5,111.0,98.4,"34,400.9352","1,578,506.1645",219,57.2026,11.3567X,33.0692X,99.44,90.19,55.38,22.06
3005,247594032,247576788,210250277,17244,25401783,30611107,134,150,36.2,193.0,85.1,97.9,"39,779.988","1,674,719.8149",181,55.8918,13.8953X,84.73X,99.57,93.51,64.42,29.44
A2016-05698,201728916,195235989,57617653,6492927,26605682,66724784,126,150,36.0,363.2,1474.5,56.6,"1,478,647.1039","9,980,225.3415",59,33.3016,3.9713X,363.3606X,48.53,10.37,2.88,1.26
SV276,105233938,105226494,92964341,7444,8463109,9146125,145,150,39.3,281.2,18.6,97.3,"28,990.8939","1,411,533.1464",283,56.5295,6.4095X,29.9187X,95.52,56.23,16.88,3.68
7014,94598312,94596313,78176356,1999,6909366,11460166,144,150,39.2,282.8,82.7,97.4,"36,565.8102","1,549,709.5848",270,55.2713,5.6486X,62.9638X,94.36,46.7,9.06,1.6
52776,97658732,97654883,89556089,3849,6630514,5514968,144,150,39.2,290.4,89.2,98.0,"31,635.373","1,451,111.9692",276,56.2645,5.8348X,14.979X,96.17,56.03,12.81,2.12
5023,195955246,195936755,168219160,18491,20526029,22856891,136,150,36.1,211.6,101.8,98.2,"36,563.6716","1,655,829.1907",192,56.0058,11.1023X,54.4014X,99.24,85.11,46.2,17.63
20773,556580130,556233911,498463147,346219,54093567,46978573,140,150,36.3,210.4,83.1,99.0,"16,309.191","1,100,366.6899",197,56.7375,32.7852X,118.2413X,99.83,99.55,98.8,96.01
703,118860970,118857648,111177177,3322,4966378,5291157,143,150,39.0,281.5,79.8,97.7,"41,009.8859","1,672,698.5125",269,56.4329,7.0301X,11.6293X,97.63,69.98,21.65,3.93
1655,83281276,83275789,77548742,5487,4031312,3895113,143,150,39.1,314.8,94.6,97.6,"39,901.3713","1,640,258.4649",299,56.2392,4.9129X,8.6382X,95.06,47.16,7.53,1.02
Pol-58,395283720,395263219,343014002,20501,38368517,43460463,134,150,36.2,189.7,84.8,97.9,"40,043.3154","1,700,367.8589",177,56.157,22.1231X,83.2796X,99.76,98.69,91.52,73.28
92-SV30F,137022598,137011236,122334226,11362,8239663,12048125,132,150,36.2,193.9,95.1,98.0,"42,368.665","1,771,411.6689",179,56.4652,7.5315X,24.8662X,98.12,71.67,23.08,3.96
Pp180701,223034172,223025207,185647624,8965,23036244,30596332,137,150,36.0,221.8,102.8,98.1,"39,067.1784","1,695,558.9133",204,55.9693,12.7316X,67.779X,99.44,89.39,55.13,23.44
96-012,215052226,215042805,185532003,9421,23908178,23939897,136,150,36.2,200.1,90.4,96.4,"76,470.8907","2,350,666.9257",187,55.8921,12.1052X,48.655X,99.22,87.2,53.75,24.02
4396,112067874,112056528,103766513,11346,2751848,5772407,144,150,39.2,253.5,75.2,97.3,"52,072.6892","1,900,318.2789",243,56.1203,6.6787X,12.9402X,97.11,65.62,19.07,3.44
mon-mon_400M,405183426,404813276,397688850,370150,25386,3481552,147,150,39.9,248.8,24.5,95.7,"46,004.9529","1,815,739.2723",253,59.0295,24.7248X,11.5581X,92.42,87.6,85.29,82.82
3766,85450598,85401468,75151643,49130,9602870,7469269,141,150,38.7,290.4,89.4,90.2,"229,313.172","4,069,032.9597",284,56.216,4.9651X,21.5096X,94.89,44.38,6.4,0.79
2016N054,189687440,189669223,173264594,18217,18882664,13136326,137,150,36.0,234.4,117.5,97.9,"46,302.7004","1,842,263.5615",214,56.8597,10.834X,40.7265X,99.39,89.45,51.7,17.01
